ID,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil24,Mobil26
10350125,6,4,2,4,2,2,4,4,4,4,4,2,3,2,2,2,1
10350199,2,4,6,4,4,1,3,5,3,3,3,5,4,6,6,2,6
10360009,5,4,2,5,5,3,2,5,3,3,4,4,4,3,6,3,3
10360011,2,5,2,5,5,2,4,4,3,4,4,4,2,3,3,2,2
10360023,2,4,3,5,4,2,4,5,3,3,2,3,5,3,3,2,3
10360113,2,4,3,4,4,2,3,4,2,3,4,4,4,6,6,6,6
10360139,1,3,1,5,4,1,3,5,4,4,4,5,5,3,6,1,1
10360159,2,5,1,5,5,3,3,4,4,3,4,6,5,2,6,3,6
10360162,6,6,6,4,4,6,5,4,5,1,1,6,4,4,1,1,6
10360193,5,4,6,4,5,3,4,5,3,3,4,5,1,4,6,6,6
10360195,6,4,2,4,4,2,4,5,5,6,3,4,4,6,6,6,6
10360212,5,5,1,5,5,1,1,4,4,5,5,3,5,1,1,1,1
10360225,4,5,2,4,1,1,5,5,2,5,5,4,4,4,4,2,1
10360285,2,4,2,4,4,1,3,4,3,4,4,5,2,4,4,4,3
10360464,3,4,4,4,4,3,4,6,6,6,4,3,3,4,4,4,4
10360465,6,4,4,5,4,2,2,4,4,3,4,4,4,2,2,2,4
10360519,2,6,2,5,6,1,4,4,4,4,2,4,3,3,6,3,2
10360526,3,3,4,4,3,3,4,4,4,4,4,4,5,4,4,4,4
10360527,3,4,2,5,3,3,4,5,5,3,4,4,5,2,6,4,6
10360574,3,5,6,5,2,3,2,5,2,3,2,5,5,2,2,2,4
10360575,3,5,3,5,5,4,2,5,2,4,4,5,5,3,4,4,4
10540009,6,5,6,4,4,1,3,1,2,3,2,6,4,5,3,6,1
10540031,6,6,6,4,5,1,4,5,3,6,3,6,3,4,6,6,6
10540046,6,5,4,5,3,1,5,4,2,3,2,2,5,2,2,2,6
10540169,4,4,3,5,6,2,6,5,3,3,4,5,4,4,6,3,1
10540178,4,4,1,5,5,4,6,5,5,5,4,5,6,6,6,1,1
10540187,3,3,4,5,4,1,4,5,4,3,4,2,3,4,2,3,4
10540216,2,4,2,5,5,3,4,5,3,3,3,5,3,2,6,2,6
10540265,2,5,2,4,4,2,3,3,4,5,4,5,2,3,6,2,1
10540271,2,4,2,5,5,2,3,4,4,3,3,4,2,6,6,3,6
10540305,3,1,6,6,4,1,4,5,4,4,4,4,3,4,2,4,2
10540515,1,5,6,5,5,3,4,4,2,5,2,2,3,4,4,6,1
10540532,2,3,3,5,5,2,5,5,5,4,3,4,4,1,1,2,1
10540659,3,2,4,5,5,3,4,5,5,4,4,6,5,3,6,1,6
10540675,6,4,4,5,2,3,5,5,4,4,2,1,3,5,4,4,5
10540689,2,2,3,5,5,1,2,5,3,2,4,3,3,2,1,2,6
10541086,1,1,4,4,4,1,5,4,3,4,2,5,1,5,5,3,5
10980080,3,5,3,5,4,2,4,4,2,5,3,2,6,5,6,4,2
11460027,3,5,1,5,5,1,4,6,6,6,4,6,4,5,5,5,2
11460070,3,4,3,3,3,2,3,5,5,3,3,3,4,2,3,3,3
11460082,3,4,6,5,4,2,4,4,3,4,3,3,4,3,6,3,3
14050001,4,5,2,3,4,4,3,5,4,3,4,2,3,4,3,2,1
14050186,3,5,1,1,5,2,4,5,5,5,5,2,3,4,4,1,1
19130036,3,5,2,4,5,2,4,4,4,4,2,4,3,3,6,4,2
19130080,3,4,6,4,4,4,4,5,4,3,5,5,3,3,6,2,6
19130148,5,5,6,5,6,1,5,5,6,5,5,5,2,3,2,1,2
19130149,4,5,1,5,5,2,4,5,5,4,2,5,5,5,5,1,2
19130179,3,3,3,4,4,2,4,4,3,4,4,4,2,2,1,2,2
19130202,1,5,1,5,5,1,5,5,4,5,3,5,1,6,6,1,6
19130205,4,5,2,2,4,4,5,5,3,5,5,6,6,6,1,6,6
19130238,6,5,3,4,3,1,4,5,3,4,2,3,2,4,1,3,2
19130578,3,4,2,5,4,2,3,5,5,3,2,2,5,2,4,2,2
19130867,1,5,1,4,5,1,2,5,5,4,5,5,2,1,6,2,1
19130871,3,4,4,4,4,2,4,4,2,4,2,2,4,4,2,2,1
19130883,5,5,6,3,4,2,5,5,4,4,4,6,4,4,3,6,6
19130963,6,5,1,3,5,3,5,5,2,4,5,6,2,6,6,1,6
19610035,4,5,5,3,4,1,5,3,2,5,2,4,4,5,5,5,4
19610114,3,4,6,4,4,2,4,4,4,4,4,4,4,4,4,2,2
19610182,3,6,1,5,5,1,4,5,4,2,4,4,4,5,1,2,1
19650025,2,4,1,5,5,2,3,5,4,4,4,4,3,4,3,1,4
19650026,2,5,1,4,5,1,4,5,4,4,5,5,5,1,2,1,1
19650041,4,4,2,3,3,3,4,5,4,2,5,5,5,1,1,2,4
19650059,3,5,1,1,4,3,4,5,5,2,3,5,5,1,1,1,3
19650138,3,4,2,4,4,2,2,5,4,3,3,4,4,2,2,5,4
