ID,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil24,Mobil26
10350017,4,5,3,1,1,1,5,5,1,5,1,5,5,5,1,5,5
10350075,3,5,3,4,4,3,5,5,5,4,3,4,5,4,1,2,2
10350085,3,4,4,5,5,1,2,5,5,3,5,4,6,6,6,3,6
10350086,3,4,3,5,2,1,3,5,4,3,5,3,3,3,2,2,2
10350100,3,4,2,5,4,2,4,2,4,4,4,2,5,2,1,1,2
10350125,6,4,2,4,2,2,4,4,4,4,4,2,3,2,2,2,1
10350133,3,4,3,5,5,3,3,5,2,3,3,3,3,4,3,3,3
10350197,2,5,1,4,5,1,4,5,4,5,4,6,6,6,6,1,1
10350199,2,4,6,4,4,1,3,5,3,3,3,5,4,6,6,2,6
10350271,1,1,1,2,4,2,4,5,2,4,2,4,4,2,6,1,6
10350272,6,6,6,6,6,3,3,3,3,3,3,6,6,6,6,6,6
10359998,6,3,6,5,5,6,6,4,3,4,3,6,3,6,6,1,6
10360009,5,4,2,5,5,3,2,5,3,3,4,4,4,3,6,3,3
10360011,2,5,2,5,5,2,4,4,3,4,4,4,2,3,3,2,2
10360013,4,4,2,5,4,2,3,5,4,4,5,5,5,1,1,2,1
10360014,4,4,2,5,4,2,3,5,4,4,3,3,3,1,1,2,1
10360016,6,3,1,5,5,1,3,5,4,4,4,5,5,2,6,1,6
10360023,2,4,3,5,4,2,4,5,3,3,2,3,5,3,3,2,3
10360024,3,3,4,2,5,1,5,5,2,2,2,4,1,5,3,2,4
10360035,1,4,6,5,4,2,4,4,2,2,2,6,5,6,6,2,6
10360095,2,5,2,5,4,2,4,5,4,4,2,4,4,2,1,2,2
10360113,2,4,3,4,4,2,3,4,2,3,4,4,4,6,6,6,6
10360122,4,2,2,5,2,2,4,5,4,4,4,4,4,2,6,1,1
10360139,1,3,1,5,4,1,3,5,4,4,4,5,5,3,6,1,1
10360159,2,5,1,5,5,3,3,4,4,3,4,6,5,2,6,3,6
10360162,6,6,6,4,4,6,5,4,5,1,1,6,4,4,1,1,6
10360177,1,5,1,5,5,1,5,5,3,3,4,5,5,1,1,2,1
10360193,5,4,6,4,5,3,4,5,3,3,4,5,1,4,6,6,6
10360195,6,4,2,4,4,2,4,5,5,6,3,4,4,6,6,6,6
10360196,6,4,2,4,4,2,4,5,5,6,3,4,4,6,6,6,6
10360202,4,4,2,4,4,2,4,4,4,2,4,4,4,2,4,1,1
10360205,2,4,4,5,4,2,4,2,4,4,5,2,4,4,2,4,2
10360212,5,5,1,5,5,1,1,4,4,5,5,3,5,1,1,1,1
10360217,3,5,2,5,2,1,5,4,2,4,4,4,4,4,2,4,2
10360225,4,5,2,4,1,1,5,5,2,5,5,4,4,4,4,2,1
10360235,1,4,3,5,3,1,3,5,4,3,4,5,3,4,1,1,1
10360236,5,2,2,5,5,1,5,5,4,5,5,5,2,4,4,2,4
10360266,5,5,4,5,3,1,4,1,1,4,2,2,1,5,3,2,1
10360283,4,4,4,4,4,5,5,4,4,4,2,4,4,6,3,2,2
10360284,4,5,4,4,4,1,5,4,2,4,2,4,4,6,4,1,2
10360285,2,4,2,4,4,1,3,4,3,4,4,5,2,4,4,4,3
10360286,3,5,2,2,4,4,3,5,2,4,4,4,4,2,2,1,2
10360322,3,5,2,4,5,2,4,5,4,4,4,4,3,4,6,2,6
10360366,1,3,3,4,1,3,3,1,1,3,1,1,3,3,1,6,6
10360414,1,2,1,5,5,3,5,5,4,3,3,4,4,1,1,3,1
10360415,3,4,1,5,4,2,3,5,4,3,4,4,5,1,1,1,1
10360458,4,5,3,5,4,1,2,5,4,4,5,4,5,4,3,4,2
10360460,2,5,2,5,4,2,4,4,2,4,4,3,4,2,2,2,2
10360462,6,5,3,5,6,1,1,5,4,5,5,6,6,6,6,6,6
10360464,3,4,4,4,4,3,4,6,6,6,4,3,3,4,4,4,4
10360465,6,4,4,5,4,2,2,4,4,3,4,4,4,2,2,2,4
10360475,1,5,4,5,5,1,4,4,5,5,4,5,4,2,2,5,2
10360518,2,4,2,5,5,2,5,4,4,3,4,4,6,3,6,2,6
10360519,2,6,2,5,6,1,4,4,4,4,2,4,3,3,6,3,2
10360526,3,3,4,4,3,3,4,4,4,4,4,4,5,4,4,4,4
10360527,3,4,2,5,3,3,4,5,5,3,4,4,5,2,6,4,6
10360532,1,5,3,5,5,1,6,4,3,4,3,5,3,3,1,3,1
10360533,6,5,2,5,5,1,1,5,4,5,3,2,1,2,6,2,2
10360536,4,5,2,4,4,4,4,5,5,4,4,4,4,2,1,1,2
